"_id","_index","_score","_type",duration,id,kind,"localEndpoint.ipv4","localEndpoint.port","localEndpoint.serviceName",name,parentId,shared,"tags.error","tags.http.host","tags.http.method","tags.http.path","tags.http.status_code","tags.http.url","tags.mvc.controller.class","tags.mvc.controller.method","tags.spring.instance_id",timestamp,"timestamp_millis",traceId
"_3W9L2oBeWuhw1dsde-M","zipkin:span-2019-04-18",,span,"22,000",5c02010a601cbd22,CLIENT,"192.168.0.50",15681,"ts-ticketinfo-service","http:/basic/queryforstationid",f34a8e290bc4be3a,,,"ts-basic-service",POST,"/basic/queryForStationId",,"http://ts-basic-service:15680/basic/queryForStationId",,,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,106,580,000","April 18th 2019, 09:18:26.580",feabd78292ccafbd
AHW9L2oBeWuhw1dsdfCM,"zipkin:span-2019-04-18",,span,"28,000",f34a8e290bc4be3a,SERVER,"192.168.0.50",15681,"ts-ticketinfo-service","http:/ticketinfo/queryforstationid",feabd78292ccafbd,true,,,,,,,TicketInfoController,queryForStationId,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,106,575,000","April 18th 2019, 09:18:26.575",feabd78292ccafbd
HnW9L2oBeWuhw1dsePDl,"zipkin:span-2019-04-18",,span,"32,000",f34a8e290bc4be3a,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/ticketinfo/queryforstationid",feabd78292ccafbd,,,"ts-ticketinfo-service",POST,"/ticketinfo/queryForStationId",,"http://ts-ticketinfo-service:15681/ticketinfo/queryForStationId",,,"76846330712d:ts-travel-service:12346","1,555,579,106,572,000","April 18th 2019, 09:18:26.572",feabd78292ccafbd
GXW9L2oBeWuhw1dsePBB,"zipkin:span-2019-04-18",,span,"6,000",89afe995dec5a73c,SERVER,"192.168.0.19",12345,"ts-station-service","http:/ticketinfo/queryforstationid",feabd78292ccafbd,true,,,,,,,StationController,queryForId,"d17809beb05f:ts-station-service:12345","1,555,579,106,558,000.25","April 18th 2019, 09:18:26.558",feabd78292ccafbd
"C3W9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"11,000",3b17d6656386ddce,CLIENT,"192.168.0.31",15680,"ts-basic-service","http:/station/queryforid",89afe995dec5a73c,,,"ts-station-service",POST,"/station/queryForId",,"http://ts-station-service:12345/station/queryForId",,,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,553,999.75","April 18th 2019, 09:18:26.554",feabd78292ccafbd
"DHW9L2oBeWuhw1dsd_AU","zipkin:span-2019-04-18",,span,"17,000",89afe995dec5a73c,SERVER,"192.168.0.31",15680,"ts-basic-service","http:/ticketinfo/queryforstationid",feabd78292ccafbd,true,,,,,,,BasicController,queryForStationId,"cdac01d7c2b8:ts-basic-service:15680","1,555,579,106,549,000","April 18th 2019, 09:18:26.549",feabd78292ccafbd
"_XW9L2oBeWuhw1dsde-M","zipkin:span-2019-04-18",,span,"22,000",439744d8eb14c88b,CLIENT,"192.168.0.50",15681,"ts-ticketinfo-service","http:/basic/queryforstationid",89afe995dec5a73c,,,"ts-basic-service",POST,"/basic/queryForStationId",,"http://ts-basic-service:15680/basic/queryForStationId",,,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,106,545,000","April 18th 2019, 09:18:26.545",feabd78292ccafbd
"_nW9L2oBeWuhw1dsde-M","zipkin:span-2019-04-18",,span,"32,000",89afe995dec5a73c,SERVER,"192.168.0.50",15681,"ts-ticketinfo-service","http:/ticketinfo/queryforstationid",feabd78292ccafbd,true,,,,,,,TicketInfoController,queryForStationId,"e12a649c6b7e:ts-ticketinfo-service:15681","1,555,579,106,537,000","April 18th 2019, 09:18:26.537",feabd78292ccafbd
HXW9L2oBeWuhw1dsePDl,"zipkin:span-2019-04-18",,span,"37,000",89afe995dec5a73c,CLIENT,"192.168.0.48",12346,"ts-travel-service","http:/ticketinfo/queryforstationid",feabd78292ccafbd,,,"ts-ticketinfo-service",POST,"/ticketinfo/queryForStationId",,"http://ts-ticketinfo-service:15681/ticketinfo/queryForStationId",,,"76846330712d:ts-travel-service:12346","1,555,579,106,532,000","April 18th 2019, 09:18:26.532",feabd78292ccafbd
"E3W9L2oBeWuhw1dsd_BB","zipkin:span-2019-04-18",,span,"77,000",efb1b3f8a8f5f38a,SERVER,"192.168.0.16",12031,"ts-order-service","http:/order/calculate",feabd78292ccafbd,true,,,,,,,OrderController,calculateSoldTicket,"03c8272d27f2:ts-order-service:12031","1,555,579,106,451,000","April 18th 2019, 09:18:26.451",feabd78292ccafbd
